time_stamp,vehicle_id,current_status,current_latitude,current_longitude,destination,platform_name,destination_latitude,destination_longitude,trip_name,stop_id,trip_id,sch_stop_id,sch_trip_id,actual_arrival_time,delay,scheduled_time
2023-10-03 08:32:16-04:00,0,INCOMING_AT,42.34064,-71.05724,Andrew,Ashmont/Braintree,42.33015441894531,-71.05765533447266,,70083,59095798,70083,59095798,2023-10-03 08:33:39-04:00,4.65,2023-10-03 08:29:00-04:00
2023-10-03 08:32:16-04:00,0,IN_TRANSIT_TO,42.34064,-71.05724,Andrew,Ashmont/Braintree,42.33015441894531,-71.05765533447266,,70083,59095798,70083,59095798,2023-10-03 08:33:39-04:00,4.65,2023-10-03 08:29:00-04:00
2023-10-03 08:32:16-04:00,2,INCOMING_AT,42.27064,-71.02464,North Quincy,Alewife,42.27580261230469,-71.03014373779297,,70098,59095638,70061,59095629,2023-10-03 15:59:21-04:00,2.2419841444615725,2023-10-03 11:58:41.522491392-04:00
2023-10-03 08:32:17-04:00,5,IN_TRANSIT_TO,42.26419,-71.01808,Quincy Center,Braintree,42.25180816650391,-71.00540924072266,,70101,59095797,70101,59095797,2023-10-03 08:34:23-04:00,-4.616666666666666,2023-10-03 08:39:00-04:00
2023-10-03 08:32:23-04:00,12,INCOMING_AT,42.38833,-71.11894,Porter,Alewife,42.38840103149414,-71.11914825439453,,70066,59095614,70066,59095614,2023-10-03 08:32:32-04:00,-2.466666666666667,2023-10-03 08:35:00-04:00
2023-10-03 08:32:31-04:00,3,INCOMING_AT,42.31285,-71.05288,Savin Hill,Ashmont,42.31060409545898,-71.05368041992188,,70087,59095638,70061,59095629,2023-10-03 15:59:21-04:00,2.2419841444615725,2023-10-03 11:58:41.522491392-04:00
2023-10-03 08:32:32-04:00,12,STOPPED_AT,42.38883,-71.11921,Porter,Alewife,42.38840103149414,-71.11914825439453,,70066,59095614,70066,59095614,2023-10-03 08:32:32-04:00,-2.466666666666667,2023-10-03 08:35:00-04:00
2023-10-03 08:32:33-04:00,9,IN_TRANSIT_TO,42.36953,-71.11154,Harvard,Alewife,42.37336349487305,-71.11895751953125,,70068,59095638,70061,59095629,2023-10-03 15:59:21-04:00,2.2419841444615725,2023-10-03 11:58:41.522491392-04:00
2023-10-03 08:32:34-04:00,2,INCOMING_AT,42.27315,-71.02737,North Quincy,Alewife,42.27580261230469,-71.03014373779297,,70098,59095638,70061,59095629,2023-10-03 15:59:21-04:00,2.2419841444615725,2023-10-03 11:58:41.522491392-04:00
2023-10-03 08:32:37-04:00,13,INCOMING_AT,42.35579,-71.06121,Park Street,Alewife,42.35639572143555,-71.06242370605469,,70076,59095615,70076,59095615,2023-10-03 08:32:53-04:00,-0.11666666666666667,2023-10-03 08:33:00-04:00
2023-10-03 08:32:39-04:00,5,IN_TRANSIT_TO,42.262,-71.01576,Quincy Center,Braintree,42.25180816650391,-71.00540924072266,,70101,59095797,70101,59095797,2023-10-03 08:34:23-04:00,-4.616666666666666,2023-10-03 08:39:00-04:00
2023-10-03 08:32:49-04:00,14,IN_TRANSIT_TO,42.30028,-71.05982,Savin Hill,Alewife,42.31059265136719,-71.0536117553711,,70088,59095616,70088,59095616,2023-10-03 08:36:40-04:00,4.666666666666667,2023-10-03 08:32:00-04:00
2023-10-03 08:32:53-04:00,13,STOPPED_AT,42.3565,-71.06263,Park Street,Alewife,42.35639572143555,-71.06242370605469,,70076,59095615,70076,59095615,2023-10-03 08:32:53-04:00,-0.11666666666666667,2023-10-03 08:33:00-04:00
2023-10-03 08:32:55-04:00,7,IN_TRANSIT_TO,42.39679,-71.124,Alewife,Red Line,42.39615631103516,-71.13996887207031,,70061,59095739,70061,59095739,2023-10-03 14:05:32.296273-04:00,2.2419841444615725,2023-10-03 08:35:00-04:00
2023-10-03 08:32:56-04:00,6,IN_TRANSIT_TO,42.36228,-71.08379,Charles/MGH,Ashmont/Braintree,42.36118698120117,-71.07150268554688,,70073,59095799,70073,59095799,2023-10-03 08:34:10-04:00,5.166666666666667,2023-10-03 08:29:00-04:00
2023-10-03 08:32:56-04:00,11,IN_TRANSIT_TO,42.3959,-71.12199,Porter,Ashmont/Braintree,42.38840103149414,-71.11914825439453,,70065,59095800,70065,59095800,2023-10-03 08:36:24-04:00,5.4,2023-10-03 08:31:00-04:00
2023-10-03 08:32:56-04:00,6,INCOMING_AT,42.36228,-71.08379,Charles/MGH,Ashmont/Braintree,42.36118698120117,-71.07150268554688,,70073,59095799,70073,59095799,2023-10-03 08:34:10-04:00,5.166666666666667,2023-10-03 08:29:00-04:00
2023-10-03 08:32:58-04:00,3,STOPPED_AT,42.31056,-71.05373,Savin Hill,Ashmont,42.31060409545898,-71.05368041992188,,70087,59095638,70061,59095629,2023-10-03 15:59:21-04:00,2.2419841444615725,2023-10-03 11:58:41.522491392-04:00
2023-10-03 08:33:04-04:00,4,IN_TRANSIT_TO,42.20965,-71.00128,Quincy Adams,Alewife,42.23339080810547,-71.00715637207031,,70104,59095638,70061,59095629,2023-10-03 15:59:21-04:00,2.2419841444615725,2023-10-03 11:58:41.522491392-04:00
2023-10-03 08:33:18-04:00,16,STOPPED_AT,42.28458,-71.06377,Ashmont,Alewife,42.28453063964844,-71.06372833251953,,70094,59095638,70061,59095629,2023-10-03 15:59:21-04:00,2.2419841444615725,2023-10-03 11:58:41.522491392-04:00
2023-10-03 08:33:18-04:00,5,INCOMING_AT,42.25752,-71.011,Quincy Center,Braintree,42.25180816650391,-71.00540924072266,,70101,59095797,70101,59095797,2023-10-03 08:34:23-04:00,-4.616666666666666,2023-10-03 08:39:00-04:00
2023-10-03 08:33:18-04:00,5,IN_TRANSIT_TO,42.25752,-71.011,Quincy Center,Braintree,42.25180816650391,-71.00540924072266,,70101,59095797,70101,59095797,2023-10-03 08:34:23-04:00,-4.616666666666666,2023-10-03 08:39:00-04:00
2023-10-03 08:33:20-04:00,12,INCOMING_AT,42.38923,-71.11931,Davis,Alewife,42.3967399597168,-71.12181854248047,,70064,59095614,70064,59095614,2023-10-03 08:34:50-04:00,-3.1666666666666665,2023-10-03 08:38:00-04:00
2023-10-03 08:33:20-04:00,12,IN_TRANSIT_TO,42.38923,-71.11931,Davis,Alewife,42.3967399597168,-71.12181854248047,,70064,59095614,70064,59095614,2023-10-03 08:34:50-04:00,-3.1666666666666665,2023-10-03 08:38:00-04:00
2023-10-03 08:33:23-04:00,6,INCOMING_AT,42.36194,-71.08144,Charles/MGH,Ashmont/Braintree,42.36118698120117,-71.07150268554688,,70073,59095799,70073,59095799,2023-10-03 08:34:10-04:00,5.166666666666667,2023-10-03 08:29:00-04:00
2023-10-03 08:33:23-04:00,11,IN_TRANSIT_TO,42.3961,-71.12073,Porter,Ashmont/Braintree,42.38840103149414,-71.11914825439453,,70065,59095800,70065,59095800,2023-10-03 08:36:24-04:00,5.4,2023-10-03 08:31:00-04:00
2023-10-03 08:33:26-04:00,2,STOPPED_AT,42.27582,-71.03012,North Quincy,Alewife,42.27580261230469,-71.03014373779297,,70098,59095638,70061,59095629,2023-10-03 15:59:21-04:00,2.2419841444615725,2023-10-03 11:58:41.522491392-04:00
2023-10-03 08:33:27-04:00,7,IN_TRANSIT_TO,42.39745,-71.12546,Alewife,Red Line,42.39615631103516,-71.13996887207031,,70061,59095739,70061,59095739,2023-10-03 14:05:32.296273-04:00,2.2419841444615725,2023-10-03 08:35:00-04:00
2023-10-03 08:33:27-04:00,4,IN_TRANSIT_TO,42.211,-71.0011,Quincy Adams,Alewife,42.23339080810547,-71.00715637207031,,70104,59095638,70061,59095629,2023-10-03 15:59:21-04:00,2.2419841444615725,2023-10-03 11:58:41.522491392-04:00
2023-10-03 08:33:36-04:00,9,IN_TRANSIT_TO,42.37112,-71.11421,Harvard,Alewife,42.37336349487305,-71.11895751953125,,70068,59095638,70061,59095629,2023-10-03 15:59:21-04:00,2.2419841444615725,2023-10-03 11:58:41.522491392-04:00
2023-10-03 08:33:37-04:00,12,INCOMING_AT,42.39082,-71.1188,Davis,Alewife,42.3967399597168,-71.12181854248047,,70064,59095614,70064,59095614,2023-10-03 08:34:50-04:00,-3.1666666666666665,2023-10-03 08:38:00-04:00
2023-10-03 08:33:37-04:00,6,INCOMING_AT,42.3617,-71.0776,Charles/MGH,Ashmont/Braintree,42.36118698120117,-71.07150268554688,,70073,59095799,70073,59095799,2023-10-03 08:34:10-04:00,5.166666666666667,2023-10-03 08:29:00-04:00
2023-10-03 08:33:39-04:00,0,STOPPED_AT,42.33022,-71.057,Andrew,Ashmont/Braintree,42.33015441894531,-71.05765533447266,,70083,59095798,70083,59095798,2023-10-03 08:33:39-04:00,4.65,2023-10-03 08:29:00-04:00
2023-10-03 08:33:44-04:00,7,IN_TRANSIT_TO,42.39751,-71.12604,Alewife,Red Line,42.39615631103516,-71.13996887207031,,70061,59095739,70061,59095739,2023-10-03 14:05:32.296273-04:00,2.2419841444615725,2023-10-03 08:35:00-04:00
2023-10-03 08:33:45-04:00,11,IN_TRANSIT_TO,42.39454,-71.11951,Porter,Ashmont/Braintree,42.38840103149414,-71.11914825439453,,70065,59095800,70065,59095800,2023-10-03 08:36:24-04:00,5.4,2023-10-03 08:31:00-04:00
2023-10-03 08:33:47-04:00,12,INCOMING_AT,42.39232,-71.11897,Davis,Alewife,42.3967399597168,-71.12181854248047,,70064,59095614,70064,59095614,2023-10-03 08:34:50-04:00,-3.1666666666666665,2023-10-03 08:38:00-04:00
2023-10-03 08:33:48-04:00,1,STOPPED_AT,42.34273,-71.05707,Broadway,Alewife,42.342620849609375,-71.05696868896484,,70082,59095741,70082,59095741,2023-10-03 08:33:48-04:00,0.8,2023-10-03 08:33:00-04:00
2023-10-03 08:33:49-04:00,9,IN_TRANSIT_TO,42.37149,-71.11463,Harvard,Alewife,42.37336349487305,-71.11895751953125,,70068,59095638,70061,59095629,2023-10-03 15:59:21-04:00,2.2419841444615725,2023-10-03 11:58:41.522491392-04:00
